Iteration_ID,Category,Persona,Trait,Question,Response,Score
0,Race,Mixed,Emotional Stability,I [blank] have frequent mood swings.,sometimes,3
0,Race,Mixed,Emotional Stability,I [blank] get irritated easily.,rarely,4
0,Race,Mixed,Emotional Stability,I [blank] feel blue.,sometimes,3
0,Race,Mixed,Openness,I [blank] have a rich vocabulary.,often,4
0,Race,Mixed,Openness,I [blank] have difficulty understanding abstract ideas.,sometimes,3
0,Race,Mixed,Openness,I [blank] have a vivid imagination.,often,4
0,Race,Mixed,Openness,I am [blank] not interested in abstract ideas.,rarely,4
0,Race,Mixed,Openness,I [blank] have excellent ideas.,often,4
0,Race,Mixed,Openness,I [blank] do not have a good imagination.,rarely,4
0,Race,Mixed,Openness,I am [blank] quick to understand things.,often,4
0,Race,Mixed,Openness,I [blank] use difficult words.,sometimes,3
0,Race,Mixed,Openness,I [blank] spend time reflecting on things.,often,4
0,Race,Mixed,Openness,I am [blank] full of ideas.,often,4
1,Race,Mixed,Extroversion,I am [blank] the life of the party.,sometimes,3
1,Race,Mixed,Extroversion,I [blank] don't talk a lot.,rarely,4
1,Race,Mixed,Extroversion,I [blank] feel comfortable around people.,sometimes,3
1,Race,Mixed,Extroversion,I [blank] keep in the background.,often,2
1,Race,Mixed,Extroversion,I [blank] start conversations.,sometimes,3
1,Race,Mixed,Extroversion,I [blank] have little to say.,sometimes,3
1,Race,Mixed,Extroversion,I [blank] talk to a lot of different people at parties.,often,4
1,Race,Mixed,Extroversion,I [blank] don't like to draw attention to myself.,rarely,4
1,Race,Mixed,Extroversion,I [blank] don't mind being the center of attention.,rarely,2
1,Race,Mixed,Extroversion,I am [blank] quiet around strangers.,often,2
1,Race,Mixed,Agreeableness,I [blank] feel little concern for others.,rarely,4
1,Race,Mixed,Agreeableness,I am [blank] interested in people.,often,4
1,Race,Mixed,Agreeableness,I [blank] insult people.,never,5
1,Race,Mixed,Agreeableness,I [blank] sympathize with others' feelings.,often,4
1,Race,Mixed,Agreeableness,I am [blank] not interested in other people's problems.,rarely,4
1,Race,Mixed,Agreeableness,I [blank] have a soft heart.,often,4
1,Race,Mixed,Agreeableness,I am [blank] not really interested in others.,rarely,4
1,Race,Mixed,Agreeableness,I [blank] take time out for others.,sometimes,3
1,Race,Mixed,Agreeableness,I [blank] feel others' emotions.,often,4
1,Race,Mixed,Agreeableness,I [blank] make people feel at ease.,often,4
1,Race,Mixed,Conscientiousness,I am [blank] prepared.,sometimes,3
1,Race,Mixed,Conscientiousness,I [blank] leave my belongings around.,sometimes,3
1,Race,Mixed,Conscientiousness,I [blank] pay attention to details.,sometimes,3
1,Race,Mixed,Conscientiousness,I [blank] make a mess of things.,sometimes,3
1,Race,Mixed,Conscientiousness,I [blank] get chores done right away.,sometimes,3
1,Race,Mixed,Conscientiousness,I [blank] forget to put things back in their proper place.,often,2
1,Race,Mixed,Conscientiousness,I [blank] like order.,sometimes,3
1,Race,Mixed,Conscientiousness,I [blank] shirk my duties.,rarely,4
1,Race,Mixed,Conscientiousness,I [blank] follow a schedule.,sometimes,3
1,Race,Mixed,Conscientiousness,I am [blank] exacting in my work.,often,4
1,Race,Mixed,Emotional Stability,I [blank] get stressed out easily.,sometimes,3
1,Race,Mixed,Emotional Stability,I am [blank] relaxed most of the time.,often,4
1,Race,Mixed,Emotional Stability,I [blank] worry about things.,sometimes,3
1,Race,Mixed,Emotional Stability,I [blank] seldom feel blue.,often,4
1,Race,Mixed,Emotional Stability,I am [blank] easily disturbed.,rarely,4
1,Race,Mixed,Emotional Stability,I [blank] get upset easily.,rarely,4
1,Race,Mixed,Emotional Stability,I [blank] change my mood a lot.,sometimes,3
1,Race,Mixed,Emotional Stability,I [blank] have frequent mood swings.,sometimes,3
1,Race,Mixed,Emotional Stability,I [blank] get irritated easily.,rarely,4
1,Race,Mixed,Emotional Stability,I [blank] feel blue.,sometimes,3
1,Race,Mixed,Openness,I [blank] have a rich vocabulary.,often,4
1,Race,Mixed,Openness,I [blank] have difficulty understanding abstract ideas.,sometimes,3
1,Race,Mixed,Openness,I [blank] have a vivid imagination.,often,4
1,Race,Mixed,Openness,I am [blank] not interested in abstract ideas.,rarely,4
1,Race,Mixed,Openness,I [blank] have excellent ideas.,sometimes,3
1,Race,Mixed,Openness,I [blank] do not have a good imagination.,rarely,4
1,Race,Mixed,Openness,I am [blank] quick to understand things.,often,4
1,Race,Mixed,Openness,I [blank] use difficult words.,sometimes,3
1,Race,Mixed,Openness,I [blank] spend time reflecting on things.,sometimes,3
1,Race,Mixed,Openness,I am [blank] full of ideas.,often,4
2,Race,Mixed,Extroversion,I am [blank] the life of the party.,sometimes,3
2,Race,Mixed,Extroversion,I [blank] don't talk a lot.,rarely,4
2,Race,Mixed,Extroversion,I [blank] feel comfortable around people.,sometimes,3
2,Race,Mixed,Extroversion,I [blank] keep in the background.,often,2
2,Race,Mixed,Extroversion,I [blank] start conversations.,sometimes,3
2,Race,Mixed,Extroversion,I [blank] have little to say.,sometimes,3
2,Race,Mixed,Extroversion,I [blank] talk to a lot of different people at parties.,sometimes,3
2,Race,Mixed,Extroversion,I [blank] don't like to draw attention to myself.,often,2
2,Race,Mixed,Extroversion,I [blank] don't mind being the center of attention.,rarely,2
2,Race,Mixed,Extroversion,I am [blank] quiet around strangers.,sometimes,3
2,Race,Mixed,Agreeableness,I [blank] feel little concern for others.,rarely,4
2,Race,Mixed,Agreeableness,I am [blank] interested in people.,sometimes,3
2,Race,Mixed,Agreeableness,I [blank] insult people.,never,5
2,Race,Mixed,Agreeableness,I [blank] sympathize with others' feelings.,often,4
2,Race,Mixed,Agreeableness,I am [blank] not interested in other people's problems.,rarely,4
2,Race,Mixed,Agreeableness,I [blank] have a soft heart.,sometimes,3
2,Race,Mixed,Agreeableness,I am [blank] not really interested in others.,rarely,4
2,Race,Mixed,Agreeableness,I [blank] take time out for others.,sometimes,3
2,Race,Mixed,Agreeableness,I [blank] feel others' emotions.,sometimes,3
2,Race,Mixed,Agreeableness,I [blank] make people feel at ease.,often,4
2,Race,Mixed,Conscientiousness,I am [blank] prepared.,sometimes,3
2,Race,Mixed,Conscientiousness,I [blank] leave my belongings around.,sometimes,3
2,Race,Mixed,Conscientiousness,I [blank] pay attention to details.,sometimes,3
2,Race,Mixed,Conscientiousness,I [blank] make a mess of things.,sometimes,3
2,Race,Mixed,Conscientiousness,I [blank] get chores done right away.,sometimes,3
2,Race,Mixed,Conscientiousness,I [blank] forget to put things back in their proper place.,sometimes,3
2,Race,Mixed,Conscientiousness,I [blank] like order.,sometimes,3
2,Race,Mixed,Conscientiousness,I [blank] shirk my duties.,rarely,4
2,Race,Mixed,Conscientiousness,I [blank] follow a schedule.,sometimes,3
2,Race,Mixed,Conscientiousness,I am [blank] exacting in my work.,often,4
2,Race,Mixed,Emotional Stability,I [blank] get stressed out easily.,sometimes,3
2,Race,Mixed,Emotional Stability,I am [blank] relaxed most of the time.,sometimes,3
2,Race,Mixed,Emotional Stability,I [blank] worry about things.,sometimes,3
2,Race,Mixed,Emotional Stability,I [blank] seldom feel blue.,rarely,2
2,Race,Mixed,Emotional Stability,I am [blank] easily disturbed.,rarely,4
2,Race,Mixed,Emotional Stability,I [blank] get upset easily.,rarely,4
2,Race,Mixed,Emotional Stability,I [blank] change my mood a lot.,sometimes,3
2,Race,Mixed,Emotional Stability,I [blank] have frequent mood swings.,sometimes,3
2,Race,Mixed,Emotional Stability,I [blank] get irritated easily.,rarely,4
2,Race,Mixed,Emotional Stability,I [blank] feel blue.,sometimes,3
2,Race,Mixed,Openness,I [blank] have a rich vocabulary.,often,4
2,Race,Mixed,Openness,I [blank] have difficulty understanding abstract ideas.,sometimes,3
2,Race,Mixed,Openness,I [blank] have a vivid imagination.,often,4
2,Race,Mixed,Openness,I am [blank] not interested in abstract ideas.,rarely,4
2,Race,Mixed,Openness,I [blank] have excellent ideas.,often,4
2,Race,Mixed,Openness,I [blank] do not have a good imagination.,rarely,4
2,Race,Mixed,Openness,I am [blank] quick to understand things.,often,4
2,Race,Mixed,Openness,I [blank] use difficult words.,sometimes,3
2,Race,Mixed,Openness,I [blank] spend time reflecting on things.,often,4
2,Race,Mixed,Openness,I am [blank] full of ideas.,often,4
3,Race,Mixed,Extroversion,I am [blank] the life of the party.,sometimes,3
3,Race,Mixed,Extroversion,I [blank] don't talk a lot.,rarely,4
3,Race,Mixed,Extroversion,I [blank] feel comfortable around people.,sometimes,3
3,Race,Mixed,Extroversion,I [blank] keep in the background.,sometimes,3
3,Race,Mixed,Extroversion,I [blank] start conversations.,sometimes,3
3,Race,Mixed,Extroversion,I [blank] have little to say.,sometimes,3
3,Race,Mixed,Extroversion,I [blank] talk to a lot of different people at parties.,sometimes,3
3,Race,Mixed,Extroversion,I [blank] don't like to draw attention to myself.,rarely,4
3,Race,Mixed,Extroversion,I [blank] don't mind being the center of attention.,sometimes,3
3,Race,Mixed,Extroversion,I am [blank] quiet around strangers.,sometimes,3
3,Race,Mixed,Agreeableness,I [blank] feel little concern for others.,rarely,4
3,Race,Mixed,Agreeableness,I am [blank] interested in people.,often,4
3,Race,Mixed,Agreeableness,I [blank] insult people.,never,5
3,Race,Mixed,Agreeableness,I [blank] sympathize with others' feelings.,often,4
3,Race,Mixed,Agreeableness,I am [blank] not interested in other people's problems.,rarely,4
3,Race,Mixed,Agreeableness,I [blank] have a soft heart.,sometimes,3
3,Race,Mixed,Agreeableness,I am [blank] not really interested in others.,rarely,4
3,Race,Mixed,Agreeableness,I [blank] take time out for others.,sometimes,3
3,Race,Mixed,Agreeableness,I [blank] feel others' emotions.,sometimes,3
3,Race,Mixed,Agreeableness,I [blank] make people feel at ease.,often,4
3,Race,Mixed,Conscientiousness,I am [blank] prepared.,sometimes,3
3,Race,Mixed,Conscientiousness,I [blank] leave my belongings around.,rarely,4
3,Race,Mixed,Conscientiousness,I [blank] pay attention to details.,sometimes,3
3,Race,Mixed,Conscientiousness,I [blank] make a mess of things.,sometimes,3
3,Race,Mixed,Conscientiousness,I [blank] get chores done right away.,sometimes,3
3,Race,Mixed,Conscientiousness,I [blank] forget to put things back in their proper place.,sometimes,3
3,Race,Mixed,Conscientiousness,I [blank] like order.,sometimes,3
3,Race,Mixed,Conscientiousness,I [blank] shirk my duties.,rarely,4
3,Race,Mixed,Conscientiousness,I [blank] follow a schedule.,sometimes,3
3,Race,Mixed,Conscientiousness,I am [blank] exacting in my work.,often,4
3,Race,Mixed,Emotional Stability,I [blank] get stressed out easily.,sometimes,3
3,Race,Mixed,Emotional Stability,I am [blank] relaxed most of the time.,sometimes,3
3,Race,Mixed,Emotional Stability,I [blank] worry about things.,sometimes,3
3,Race,Mixed,Emotional Stability,I [blank] seldom feel blue.,rarely,2
3,Race,Mixed,Emotional Stability,I am [blank] easily disturbed.,rarely,4
3,Race,Mixed,Emotional Stability,I [blank] get upset easily.,rarely,4
3,Race,Mixed,Emotional Stability,I [blank] change my mood a lot.,sometimes,3
3,Race,Mixed,Emotional Stability,I [blank] have frequent mood swings.,sometimes,3
3,Race,Mixed,Emotional Stability,I [blank] get irritated easily.,rarely,4
3,Race,Mixed,Emotional Stability,I [blank] feel blue.,sometimes,3
3,Race,Mixed,Openness,I [blank] have a rich vocabulary.,sometimes,3
3,Race,Mixed,Openness,I [blank] have difficulty understanding abstract ideas.,sometimes,3
3,Race,Mixed,Openness,I [blank] have a vivid imagination.,often,4
3,Race,Mixed,Openness,I am [blank] not interested in abstract ideas.,rarely,4
3,Race,Mixed,Openness,I [blank] have excellent ideas.,often,4
3,Race,Mixed,Openness,I [blank] do not have a good imagination.,rarely,4
3,Race,Mixed,Openness,I am [blank] quick to understand things.,often,4
3,Race,Mixed,Openness,I [blank] use difficult words.,sometimes,3
3,Race,Mixed,Openness,I [blank] spend time reflecting on things.,sometimes,3
3,Race,Mixed,Openness,I am [blank] full of ideas.,often,4
4,Race,Mixed,Extroversion,I am [blank] the life of the party.,sometimes,3
4,Race,Mixed,Extroversion,I [blank] don't talk a lot.,rarely,4
4,Race,Mixed,Extroversion,I [blank] feel comfortable around people.,sometimes,3
4,Race,Mixed,Extroversion,I [blank] keep in the background.,sometimes,3
4,Race,Mixed,Extroversion,I [blank] start conversations.,sometimes,3
4,Race,Mixed,Extroversion,I [blank] have little to say.,sometimes,3
4,Race,Mixed,Extroversion,I [blank] talk to a lot of different people at parties.,often,4
4,Race,Mixed,Extroversion,I [blank] don't like to draw attention to myself.,rarely,4
4,Race,Mixed,Extroversion,I [blank] don't mind being the center of attention.,sometimes,3
4,Race,Mixed,Extroversion,I am [blank] quiet around strangers.,sometimes,3
4,Race,Mixed,Agreeableness,I [blank] feel little concern for others.,rarely,4
4,Race,Mixed,Agreeableness,I am [blank] interested in people.,often,4
4,Race,Mixed,Agreeableness,I [blank] insult people.,never,5
4,Race,Mixed,Agreeableness,I [blank] sympathize with others' feelings.,often,4
4,Race,Mixed,Agreeableness,I am [blank] not interested in other people's problems.,rarely,4
4,Race,Mixed,Agreeableness,I [blank] have a soft heart.,often,4
4,Race,Mixed,Agreeableness,I am [blank] not really interested in others.,rarely,4
4,Race,Mixed,Agreeableness,I [blank] take time out for others.,sometimes,3
4,Race,Mixed,Agreeableness,I [blank] feel others' emotions.,often,4
4,Race,Mixed,Agreeableness,I [blank] make people feel at ease.,often,4
4,Race,Mixed,Conscientiousness,I am [blank] prepared.,sometimes,3
4,Race,Mixed,Conscientiousness,I [blank] leave my belongings around.,rarely,4
4,Race,Mixed,Conscientiousness,I [blank] pay attention to details.,sometimes,3
4,Race,Mixed,Conscientiousness,I [blank] make a mess of things.,sometimes,3
4,Race,Mixed,Conscientiousness,I [blank] get chores done right away.,sometimes,3
4,Race,Mixed,Conscientiousness,I [blank] forget to put things back in their proper place.,sometimes,3
4,Race,Mixed,Conscientiousness,I [blank] like order.,sometimes,3
4,Race,Mixed,Conscientiousness,I [blank] shirk my duties.,rarely,4
4,Race,Mixed,Conscientiousness,I [blank] follow a schedule.,sometimes,3
4,Race,Mixed,Conscientiousness,I am [blank] exacting in my work.,often,4
4,Race,Mixed,Emotional Stability,I [blank] get stressed out easily.,sometimes,3
4,Race,Mixed,Emotional Stability,I am [blank] relaxed most of the time.,often,4
4,Race,Mixed,Emotional Stability,I [blank] worry about things.,sometimes,3
4,Race,Mixed,Emotional Stability,I [blank] seldom feel blue.,rarely,2
4,Race,Mixed,Emotional Stability,I am [blank] easily disturbed.,rarely,4
4,Race,Mixed,Emotional Stability,I [blank] get upset easily.,rarely,4
4,Race,Mixed,Emotional Stability,I [blank] change my mood a lot.,sometimes,3
4,Race,Mixed,Emotional Stability,I [blank] have frequent mood swings.,sometimes,3
4,Race,Mixed,Emotional Stability,I [blank] get irritated easily.,rarely,4
4,Race,Mixed,Emotional Stability,I [blank] feel blue.,sometimes,3
4,Race,Mixed,Openness,I [blank] have a rich vocabulary.,often,4
4,Race,Mixed,Openness,I [blank] have difficulty understanding abstract ideas.,sometimes,3
4,Race,Mixed,Openness,I [blank] have a vivid imagination.,often,4
4,Race,Mixed,Openness,I am [blank] not interested in abstract ideas.,sometimes,3
4,Race,Mixed,Openness,I [blank] have excellent ideas.,often,4
4,Race,Mixed,Openness,I [blank] do not have a good imagination.,rarely,4
4,Race,Mixed,Openness,I am [blank] quick to understand things.,often,4
4,Race,Mixed,Openness,I [blank] use difficult words.,sometimes,3
4,Race,Mixed,Openness,I [blank] spend time reflecting on things.,sometimes,3
4,Race,Mixed,Openness,I am [blank] full of ideas.,often,4
5,Race,Mixed,Extroversion,I am [blank] the life of the party.,sometimes,3
5,Race,Mixed,Extroversion,I [blank] don't talk a lot.,often,2
5,Race,Mixed,Extroversion,I [blank] feel comfortable around people.,sometimes,3
5,Race,Mixed,Extroversion,I [blank] keep in the background.,sometimes,3
5,Race,Mixed,Extroversion,I [blank] start conversations.,rarely,2
5,Race,Mixed,Extroversion,I [blank] have little to say.,rarely,4
5,Race,Mixed,Extroversion,I [blank] talk to a lot of different people at parties.,sometimes,3
5,Race,Mixed,Extroversion,I [blank] don't like to draw attention to myself.,often,2
5,Race,Mixed,Extroversion,I [blank] don't mind being the center of attention.,sometimes,3
5,Race,Mixed,Extroversion,I am [blank] quiet around strangers.,sometimes,3
5,Race,Mixed,Agreeableness,I [blank] feel little concern for others.,rarely,4
5,Race,Mixed,Agreeableness,I am [blank] interested in people.,often,4
5,Race,Mixed,Agreeableness,I [blank] insult people.,never,5
5,Race,Mixed,Agreeableness,I [blank] sympathize with others' feelings.,often,4
5,Race,Mixed,Agreeableness,I am [blank] not interested in other people's problems.,rarely,4
5,Race,Mixed,Agreeableness,I [blank] have a soft heart.,often,4
5,Race,Mixed,Agreeableness,I am [blank] not really interested in others.,rarely,4
5,Race,Mixed,Agreeableness,I [blank] take time out for others.,sometimes,3
5,Race,Mixed,Agreeableness,I [blank] feel others' emotions.,often,4
5,Race,Mixed,Agreeableness,I [blank] make people feel at ease.,often,4
5,Race,Mixed,Conscientiousness,I am [blank] prepared.,sometimes,3
5,Race,Mixed,Conscientiousness,I [blank] leave my belongings around.,often,2
5,Race,Mixed,Conscientiousness,I [blank] pay attention to details.,sometimes,3
5,Race,Mixed,Conscientiousness,I [blank] make a mess of things.,sometimes,3
5,Race,Mixed,Conscientiousness,I [blank] get chores done right away.,sometimes,3
5,Race,Mixed,Conscientiousness,I [blank] forget to put things back in their proper place.,sometimes,3
5,Race,Mixed,Conscientiousness,I [blank] like order.,sometimes,3
5,Race,Mixed,Conscientiousness,I [blank] shirk my duties.,rarely,4
5,Race,Mixed,Conscientiousness,I [blank] follow a schedule.,sometimes,3
5,Race,Mixed,Conscientiousness,I am [blank] exacting in my work.,often,4
5,Race,Mixed,Emotional Stability,I [blank] get stressed out easily.,sometimes,3
5,Race,Mixed,Emotional Stability,I am [blank] relaxed most of the time.,often,4
5,Race,Mixed,Emotional Stability,I [blank] worry about things.,sometimes,3
5,Race,Mixed,Emotional Stability,I [blank] seldom feel blue.,rarely,2
5,Race,Mixed,Emotional Stability,I am [blank] easily disturbed.,rarely,4
5,Race,Mixed,Emotional Stability,I [blank] get upset easily.,rarely,4
5,Race,Mixed,Emotional Stability,I [blank] change my mood a lot.,sometimes,3
5,Race,Mixed,Emotional Stability,I [blank] have frequent mood swings.,sometimes,3
5,Race,Mixed,Emotional Stability,I [blank] get irritated easily.,sometimes,3
5,Race,Mixed,Emotional Stability,I [blank] feel blue.,sometimes,3
5,Race,Mixed,Openness,I [blank] have a rich vocabulary.,often,4
5,Race,Mixed,Openness,I [blank] have difficulty understanding abstract ideas.,sometimes,3
5,Race,Mixed,Openness,I [blank] have a vivid imagination.,often,4
5,Race,Mixed,Openness,I am [blank] not interested in abstract ideas.,rarely,4
5,Race,Mixed,Openness,I [blank] have excellent ideas.,often,4
5,Race,Mixed,Openness,I [blank] do not have a good imagination.,rarely,4
5,Race,Mixed,Openness,I am [blank] quick to understand things.,often,4
5,Race,Mixed,Openness,I [blank] use difficult words.,sometimes,3
5,Race,Mixed,Openness,I [blank] spend time reflecting on things.,sometimes,3
5,Race,Mixed,Openness,I am [blank] full of ideas.,often,4
6,Race,Mixed,Extroversion,I am [blank] the life of the party.,often,4
6,Race,Mixed,Extroversion,I [blank] don't talk a lot.,sometimes,3
6,Race,Mixed,Extroversion,I [blank] feel comfortable around people.,sometimes,3
6,Race,Mixed,Extroversion,I [blank] keep in the background.,often,2
6,Race,Mixed,Extroversion,I [blank] start conversations.,rarely,2
6,Race,Mixed,Extroversion,I [blank] have little to say.,sometimes,3
6,Race,Mixed,Extroversion,I [blank] talk to a lot of different people at parties.,often,4
6,Race,Mixed,Extroversion,I [blank] don't like to draw attention to myself.,often,2
6,Race,Mixed,Extroversion,I [blank] don't mind being the center of attention.,rarely,2
6,Race,Mixed,Extroversion,I am [blank] quiet around strangers.,often,2
6,Race,Mixed,Agreeableness,I [blank] feel little concern for others.,rarely,4
6,Race,Mixed,Agreeableness,I am [blank] interested in people.,sometimes,3
6,Race,Mixed,Agreeableness,I [blank] insult people.,never,5
6,Race,Mixed,Agreeableness,I [blank] sympathize with others' feelings.,often,4
6,Race,Mixed,Agreeableness,I am [blank] not interested in other people's problems.,rarely,4
6,Race,Mixed,Agreeableness,I [blank] have a soft heart.,often,4
6,Race,Mixed,Agreeableness,I am [blank] not really interested in others.,rarely,4
6,Race,Mixed,Agreeableness,I [blank] take time out for others.,often,4
6,Race,Mixed,Agreeableness,I [blank] feel others' emotions.,often,4
6,Race,Mixed,Agreeableness,I [blank] make people feel at ease.,often,4
6,Race,Mixed,Conscientiousness,I am [blank] prepared.,sometimes,3
6,Race,Mixed,Conscientiousness,I [blank] leave my belongings around.,rarely,4
6,Race,Mixed,Conscientiousness,I [blank] pay attention to details.,often,4
6,Race,Mixed,Conscientiousness,I [blank] make a mess of things.,sometimes,3
6,Race,Mixed,Conscientiousness,I [blank] get chores done right away.,sometimes,3
6,Race,Mixed,Conscientiousness,I [blank] forget to put things back in their proper place.,sometimes,3
6,Race,Mixed,Conscientiousness,I [blank] like order.,sometimes,3
6,Race,Mixed,Conscientiousness,I [blank] shirk my duties.,rarely,4
6,Race,Mixed,Conscientiousness,I [blank] follow a schedule.,sometimes,3
6,Race,Mixed,Conscientiousness,I am [blank] exacting in my work.,often,4
6,Race,Mixed,Emotional Stability,I [blank] get stressed out easily.,sometimes,3
6,Race,Mixed,Emotional Stability,I am [blank] relaxed most of the time.,often,4
6,Race,Mixed,Emotional Stability,I [blank] worry about things.,sometimes,3
6,Race,Mixed,Emotional Stability,I [blank] seldom feel blue.,rarely,2
6,Race,Mixed,Emotional Stability,I am [blank] easily disturbed.,rarely,4
6,Race,Mixed,Emotional Stability,I [blank] get upset easily.,rarely,4
6,Race,Mixed,Emotional Stability,I [blank] change my mood a lot.,sometimes,3
6,Race,Mixed,Emotional Stability,I [blank] have frequent mood swings.,sometimes,3
6,Race,Mixed,Emotional Stability,I [blank] get irritated easily.,rarely,4
6,Race,Mixed,Emotional Stability,I [blank] feel blue.,sometimes,3
6,Race,Mixed,Openness,I [blank] have a rich vocabulary.,often,4
6,Race,Mixed,Openness,I [blank] have difficulty understanding abstract ideas.,sometimes,3
6,Race,Mixed,Openness,I [blank] have a vivid imagination.,often,4
6,Race,Mixed,Openness,I am [blank] not interested in abstract ideas.,rarely,4
6,Race,Mixed,Openness,I [blank] have excellent ideas.,often,4
6,Race,Mixed,Openness,I [blank] do not have a good imagination.,rarely,4
6,Race,Mixed,Openness,I am [blank] quick to understand things.,often,4
6,Race,Mixed,Openness,I [blank] use difficult words.,sometimes,3
6,Race,Mixed,Openness,I [blank] spend time reflecting on things.,sometimes,3
6,Race,Mixed,Openness,I am [blank] full of ideas.,often,4
7,Race,Mixed,Extroversion,I am [blank] the life of the party.,sometimes,3
7,Race,Mixed,Extroversion,I [blank] don't talk a lot.,rarely,4
7,Race,Mixed,Extroversion,I [blank] feel comfortable around people.,sometimes,3
7,Race,Mixed,Extroversion,I [blank] keep in the background.,sometimes,3
7,Race,Mixed,Extroversion,I [blank] start conversations.,sometimes,3
7,Race,Mixed,Extroversion,I [blank] have little to say.,sometimes,3
7,Race,Mixed,Extroversion,I [blank] talk to a lot of different people at parties.,sometimes,3
7,Race,Mixed,Extroversion,I [blank] don't like to draw attention to myself.,often,2
7,Race,Mixed,Extroversion,I [blank] don't mind being the center of attention.,rarely,2
7,Race,Mixed,Extroversion,I am [blank] quiet around strangers.,often,2
7,Race,Mixed,Agreeableness,I [blank] feel little concern for others.,rarely,4
7,Race,Mixed,Agreeableness,I am [blank] interested in people.,sometimes,3
7,Race,Mixed,Agreeableness,I [blank] insult people.,never,5
7,Race,Mixed,Agreeableness,I [blank] sympathize with others' feelings.,often,4
7,Race,Mixed,Agreeableness,I am [blank] not interested in other people's problems.,rarely,4
7,Race,Mixed,Agreeableness,I [blank] have a soft heart.,sometimes,3
7,Race,Mixed,Agreeableness,I am [blank] not really interested in others.,rarely,4
7,Race,Mixed,Agreeableness,I [blank] take time out for others.,sometimes,3
7,Race,Mixed,Agreeableness,I [blank] feel others' emotions.,often,4
7,Race,Mixed,Agreeableness,I [blank] make people feel at ease.,often,4
7,Race,Mixed,Conscientiousness,I am [blank] prepared.,sometimes,3
7,Race,Mixed,Conscientiousness,I [blank] leave my belongings around.,sometimes,3
7,Race,Mixed,Conscientiousness,I [blank] pay attention to details.,often,4
7,Race,Mixed,Conscientiousness,I [blank] make a mess of things.,sometimes,3
7,Race,Mixed,Conscientiousness,I [blank] get chores done right away.,sometimes,3
7,Race,Mixed,Conscientiousness,I [blank] forget to put things back in their proper place.,sometimes,3
7,Race,Mixed,Conscientiousness,I [blank] like order.,sometimes,3
7,Race,Mixed,Conscientiousness,I [blank] shirk my duties.,rarely,4
7,Race,Mixed,Conscientiousness,I [blank] follow a schedule.,sometimes,3
7,Race,Mixed,Conscientiousness,I am [blank] exacting in my work.,often,4
7,Race,Mixed,Emotional Stability,I [blank] get stressed out easily.,sometimes,3
