Factor,Trait_Code,Trait,Source,Source_Label,N_Subgroups,Pearson_r_means,Pearson_p_means,Spearman_rho_means,Spearman_p_means,Pearson_r_effects,Pearson_p_effects
Race,C,Conscientiousness,AI_GPT4o_Explicit,GPT Explicit,11,0.1039,0.7611,0.0273,0.9366,0.1039,0.7611
Race,C,Conscientiousness,AI_GPT4o_NLP,GPT NLP,11,0.5861,0.0581,0.3909,0.2345,0.5861,0.0581
Race,C,Conscientiousness,AI_Qwen_NLP,Qwen NLP,6,0.0533,0.9202,0.0286,0.9572,0.0533,0.9202
Race,N,Emotional Stability,AI_GPT4o_Explicit,GPT Explicit,11,0.5429,0.0844,0.7182,0.0128,0.5429,0.0844
Race,N,Emotional Stability,AI_GPT4o_NLP,GPT NLP,11,0.5925,0.0547,0.7909,0.0037,0.5925,0.0547
Race,N,Emotional Stability,AI_Qwen_NLP,Qwen NLP,6,-0.6803,0.1369,-0.4058,0.4247,-0.6803,0.1369
Race,O,Openness,AI_GPT4o_Explicit,GPT Explicit,11,0.4751,0.1397,0.2818,0.4011,0.4751,0.1397
Race,O,Openness,AI_GPT4o_NLP,GPT NLP,11,-0.2199,0.516,-0.0592,0.8627,-0.2199,0.516
Race,O,Openness,AI_Qwen_NLP,Qwen NLP,6,-0.6634,0.1509,-0.7143,0.1108,-0.6634,0.1509
Country,E,Extroversion,AI_GPT4o_Explicit,GPT Explicit,50,0.2568,0.0719,0.223,0.1195,0.2568,0.0719
Country,E,Extroversion,AI_GPT4o_NLP,GPT NLP,50,0.0553,0.7029,0.0881,0.5431,0.0553,0.7029
Country,E,Extroversion,AI_Qwen_NLP,Qwen NLP,6,-0.5961,0.2117,-0.5374,0.2715,-0.5961,0.2117
Country,A,Agreeableness,AI_GPT4o_Explicit,GPT Explicit,50,-0.2701,0.0578,-0.3205,0.0232,-0.2701,0.0578
Country,A,Agreeableness,AI_GPT4o_NLP,GPT NLP,50,0.2338,0.1023,0.2557,0.0731,0.2338,0.1023
Country,A,Agreeableness,AI_Qwen_NLP,Qwen NLP,6,-0.0838,0.8746,-0.3714,0.4685,-0.0838,0.8746
Country,C,Conscientiousness,AI_GPT4o_Explicit,GPT Explicit,50,0.1181,0.4139,0.0594,0.6819,0.1181,0.4139
Country,C,Conscientiousness,AI_GPT4o_NLP,GPT NLP,50,0.0769,0.5956,0.1771,0.2185,0.0769,0.5956
Country,C,Conscientiousness,AI_Qwen_NLP,Qwen NLP,6,0.0879,0.8685,0.0857,0.8717,0.0879,0.8685
Country,N,Emotional Stability,AI_GPT4o_Explicit,GPT Explicit,50,0.2407,0.0923,0.235,0.1004,0.2407,0.0923
Country,N,Emotional Stability,AI_GPT4o_NLP,GPT NLP,50,0.4337,0.0017,0.4304,0.0018,0.4337,0.0017
Country,N,Emotional Stability,AI_Qwen_NLP,Qwen NLP,6,-0.331,0.5216,-0.4286,0.3965,-0.331,0.5216
Country,O,Openness,AI_GPT4o_Explicit,GPT Explicit,50,0.6216,0.0,0.604,0.0,0.6216,0.0
Country,O,Openness,AI_GPT4o_NLP,GPT NLP,50,0.1128,0.4354,0.249,0.0812,0.1128,0.4354
Country,O,Openness,AI_Qwen_NLP,Qwen NLP,6,-0.8089,0.0513,-0.8286,0.0416,-0.8089,0.0513
